,companies,tagline,program,startDate,endDate,projectStatus,state,description,techCat1,techCat2,projecturl,companyCopy
769,University of Maryland (UMD) ,Electrochemical Compression for Ammoni,IDEAS,06/01/2018,09/30/2020,ACTIVE,Marylan,"The University of Maryland (UMD) will develop an electrochemical compression technology for ammonia. Electrochemical (an alternative to mechanical) compression has rarely been considered for ammonia, and the UMD team seeks to develop a new method to raise the compression efficiency from its current rate of 65% to the long term goal of up to 90%. If successful, replacing mechanical ammonia compression processes with electrochemical ones could save up to 10% of electricity consumed by commercial buildings while eliminating related carbon emissions and saving up to $3.5 billion annually for the United States. Using UMD's method, ammonia is electrochemically compressed using a proton exchange membrane electrochemical cell with hydrogen as a carrier gas. Unlike mechanical compression, the team's electrochemical device has no moving parts or lubrication oil and does not produce any noise. The successful demonstration of electrochemical ammonia compression will stimulate more research on the transfer of not only ammonia but other fluids using similar approaches, as well as the exploration of ion exchange membranes for other types of electrochemical gas transfer. The technical goal of Maryland's research is the construction and evaluation of a 50 W electrochemical compression stack that can compress ammonia from 1 atm to 10 atm in a single step with an ammonia flow rate of 0.045 g/s and a compression efficiency of over 70%.

",Transportation Fuels, ,?q=slick-sheet-project/electrochemical-compression-ammonia,University of Maryland (UMD)
770,University of Maryland (UMD) ,Solid-State Lithium-Ion Battery With Ceramic Electrolyte,RANGE,01/16/2017,10/15/2021,ACTIVE,Marylan,"The University of Maryland (UMD) is developing ceramic materials and processing methods to enable high-power, solid-state, lithium-ion batteries for use in EVs. Conventional lithium-ion batteries used in most EVs contain liquids that necessitate the use of heavy, protective components. By contrast, UMD's technology uses no liquids and offers greater abuse tolerance and reducing weight. This reduced weight leads to improved EV efficiency for greater driving range. UMD's technology also has the potential to help reduce manufacturing costs using scalable, ceramic fabrication techniques that does not require dry rooms or vacuum equipment.

",Transportation Storage, ,?q=slick-sheet-project/solid-state-lithium-ion-battery-ceramic-electrolyte,University of Maryland (UMD)
771,University of Maryland (UMD) ,Advanced Heat Exchangers,ARID,09/01/2015,09/30/2019,ALUMNI,Marylan,"The University of Maryland (UMD) and its partners will utilize UMD's expertise in additive manufacturing (3D printing) and thermal engineering to develop novel, polymer-based, air-cooled heat exchangers for use in indirect dry-cooling systems. The innovation leverages UMD's proprietary, cross media heat exchanger concept in which a low-cost, high-conductivity medium, such as aluminum, is encapsulated as a fiber in a polymeric material to facilitate more effective heat dissipation. To realize the innovative heat exchanger design, the team will develop an advanced, multi-head, composite 3D printer. The heat exchanger modules will be arranged in uniform rows with large spacing between the rows, which optimizes heat transfer while allowing for easier cleaning and maintenance. In addition to the system's advanced cooling capacities, the heat exchangers will also be low-cost, low-weight, and resistant to corrosion. Ideally, UMD's technology will be used in conjunction with a direct contact steam condenser in order to provide power plant cooling with performance comparable to evaporative, or wet-cooling, systems. UMD estimates that additive manufacturing could enable transformational heat exchanger designs with high performance at low cost, including the potential for onsite manufacturing of the heat exchanger, which could save additional transportation and installation costs.
",Resource Efficiency, ,?q=slick-sheet-project/advanced-heat-exchangers-0,University of Maryland (UMD)
772,University of Maryland (UMD) ,Current Collectors for Aqueous Batteries,IDEAS,04/14/2016,04/13/2017,ALUMNI,Marylan,"The University of Maryland (UMD) will develop a new type of current collector using a film that is composed of functionalized few-walled carbon nanotubes (FWNTs) and polymers. The team seeks to develop a thin, low-cost current collector that displays high conductivity, excellent mechanical strength, flexibility, and manufacturing scalability. Carbon nanotubes have high conductivity, but in their pure state lack the needed mechanical strength. The FWNT concept will ""functionalize"" or bolster the outer walls by integrating polymers to increase the mechanical strength. This will give the product the dual benefits of direct tube-on-tube contact for fast recharging and increased mechanical strength and stability from the polymers. Replacement of metal mesh by FWNT-polymer film will not only address current collector corrosion concerns, but will also offer increased energy density due to the substantially lighter weight of these carbon-based materials compared to traditional metallic current collectors.

",Storage, ,?q=slick-sheet-project/current-collectors-aqueous-batteries,University of Maryland (UMD)
774,University of Massachusetts at Amherst (UMass Amherst),Biofuels from Solar Energy and Bacteri,Electrofuels,07/01/2010,06/30/2014,ALUMNI,Massachusetts,"The University of Massachusetts at Amherst (UMass Amherst) is feeding renewable electricity to bacteria to provide the microorganisms with the energy they need to turn carbon dioxide (CO<sub>2</sub>) directly into liquid fuels. UMass Amherst's energy-to-fuels conversion process is anticipated to be more efficient than current biofuels approaches in part because this process will leverage the high efficiency of photovoltaics to convert solar energy into electricity. UMass Amherst is using bacteria already known to produce biofuel from electric current and CO<sub>2</sub> and working to increase the amount of electric current those microorganisms will accept and use for biofuels production. In collaboration with scientists at University of California, San Diego, the UMass Amherst team is also investigating the use of hydrogen sulfide as a source of energy to power biofuel production.
",Transportation Fuels, ,?q=slick-sheet-project/biofuels-solar-energy-and-bacteria,University of Massachusetts at Amherst (UMass Amherst)
776,University of Michigan,Methane-to-Methanol,REMOTE,01/23/2014,03/06/2017,ALUMNI,Michigan,"The University of Michigan team will develop a biological approach to activate methane, the first step in creating a liquid fuel from natural gas. Current approaches to methane activation require the addition of oxygen and energy in the form of heat, which is inefficient and costly. The University of Michigan's multidisciplinary team will engineer a methane-generating microorganism that can activate methane without the need for these additional inputs. The University of Michigan will use computer models to understand the processes on a molecular level and predict the structure of new enzymes and chemical interactions. Once modeled and engineered, the University of Michigan's optimized organism and process would provide a way to produce butanol, a drop-in liquid fuel.
",Transportation Fuels, ,?q=slick-sheet-project/methane-methanol,University of Michigan
777,University of Michigan,Transmission System Data Set,GRID DATA,05/27/2016,11/26/2018,ALUMNI,Michigan,"The University of Michigan, with partners from Los Alamos National Laboratory, the California Institute of Technology, and Columbia University, will develop a transmission system data set with greater reliability, size, and scope compared to current models. The project combines existing power systems data with advanced obfuscation techniques to anonymize the data while still creating realistic models. In addition, the project delivers year-long test cases that capture grid network behavior over time, enabling the analysis of optimization algorithms over different time scales. These realistic datasets will be used to develop synthetic test cases to examine the scalability and robustness of optimization algorithms. The team is also developing a new format for capturing power system model data using JavaScript Object Notation and will provide open-source tools for data quality control and validation, format translation, synthetic test case generation, and obfuscation. Finally, the project aims at developing an infrastructure for ensuring replicable research and easing experimentation, using the concept of virtual machines to enable comparison of algorithms as hardware and software evolve over time.

",Grid, ,?q=slick-sheet-project/transmission-system-data-set,University of Michigan
778,University of Michigan,Integrated Vehicle Power &amp; Thermal Management,NEXTCAR,03/17/2017,09/30/2020,ACTIVE,Michigan,"The University of Michigan will develop an integrated power and thermal management system for connected and automated vehicles (iPTM-CAV), with the goal of achieving a 20% improvement in energy consumption. This increase will arise from predicting the traffic environment with transportation analytics, optimizing vehicle speed and load profiles with vehicle-to-everything (V2X) communication, coordinating power and thermal control systems with intelligent algorithms, and optimizing powertrain operation in real time. The additional information made available by V2X and new sensors provides a look-ahead preview of traffic conditions unavailable in vehicles without connectivity. This information can be used to enable intelligent decision-making at multiple levels in powertrain and vehicle control. Key to this project is the team's approach for managing vehicle heat loads and thermal management. Thermal loads have to be properly managed, as they affect multiple vehicle attributes including energy consumption, emissions, safety, passenger comfort, etc. Compared to power delivery, thermal loads cannot be served instantaneously - they take more time to respond to changes, making their prediction much more important. The team's proposed technology includes four solutions: managing and optimizing propulsive power and auxiliary thermal load, predictive thermal management of connected and automated vehicles, optimizing powertrain and exhaust aftertreatment systems by anticipating future conditions, and integrating powertrain and vehicle thermal management systems. The proposed strategies will be applicable for a range of vehicles powered by internal combustion engines, hybrid-electric, plug-in hybrid-electric, and all-electric powertrains.

",Transportation Vehicles, ,?q=slick-sheet-project/integrated-vehicle-power-thermal-management,University of Michigan
779,University of Michigan,OVERCOMING THE TECHNICAL CHALLENGES OF COORDINATING DISTRIBUTED LOAD RESOURCES AT SCALE,OPEN 2018,06/12/2019,06/11/2022,ACTIVE,Michigan,"The University of Michigan will develop load-control strategies to improve grid reliability in the face of increased penetration of DERs and low-cost renewable generation. As the electricity generation mix changes to include more renewables and DERs, load shifting is essential. Today, there are few load-shifting strategies in use at grid scale that are capable of balancing current levels of intermittent energy production. The team will develop three testing environments to identify issues the grid faces with increased levels of energy from distributed and renewable generation. Their method could improve credibility for load-control mechanisms at scale and lower costs to power providers and consumers alike.

",Grid, ,?q=slick-sheet-project/overcoming-technical-challenges-coordinating-distributed-load-resources-scale,University of Michigan
780,University of Michigan,Enhanced Engine Improvements,OPEN 2015,07/14/2016,12/31/2019,ALUMNI,Michigan,"The University of Michigan team will develop a compact micro-hybrid configuration that pairs an Electrically Assisted Variable Speed (EAVS) supercharger with an exhaust expander Waste Energy Recovery (WER) system. Together, the EAVS and WER can nearly eliminate the slow air-path dynamics associated with turbocharge inertia and high exhaust gas recirculation (EGR). The EAVS system compresses engine intake air to increase engine power and allows the engine to have valuable ""breathing time."" This breathing time allows for a coordinated intake boosting and exhaust vacuum, so that the combustion timing and fueling is always optimal. Meanwhile, the WER system will capture exhaust energy, store it in a low-voltage battery together with energy from regenerative braking and later reuse it to assist the engine under transient acceleration loads, helping to further increase fuel efficiency. The team's innovation could increase fuel economy in advanced vehicles by 20%.

",Transportation Energy Conversion, ,?q=slick-sheet-project/enhanced-engine-improvements,University of Michigan
782,University of Minnesota (UMN),Rapidly Viable and Sustained Grid,OPEN 2018,07/01/2019,06/30/2022,ACTIVE,Minnesota,"The University of Minnesota (UMN) will develop a net-load management framework that rapidly identifies neighborhood-units to support grid infrastructure and enable ultrafast coordinated management. UMN's project will rethink power recovery from near blackout conditions with a focus on rapid energization and maximizing power duration. This project's approach could fundamentally change the way large contingencies are managed. It would transition power systems and critical infrastructure from fragile to robust using intelligent, self-organizing control for coordinating resources, enhancing resiliency and increasing the use of renewable energy sources. The communication and control layer coupled with rapid decision-making methods for managing local sources and loads will coordinate power resources and leverage renewable energy. This framework will support the grid in contingencies such as failure of aging infrastructure or catastrophic weather events.
",Grid, ,?q=slick-sheet-project/rapidly-viable-and-sustained-grid,University of Minnesota (UMN)
783,University of Minnesota (UMN),Ultra-Thin Membranes for Biofuels Production,OPEN 2012,03/22/2013,09/21/2016,ALUMNI,Minnesota,"The University of Minnesota (UMN) is developing an ultra-thin separation membrane to decrease the cost of producing biofuels, plastics, and other industrial materials. Nearly 6% of total U.S. energy consumption comes from the energy used in separation and purification processes. Today's separation methods used in biofuels production are not only energy intensive, but also very expensive. UMN is developing a revolutionary membrane technology based on a recently discovered class of ultra-thin, porous, materials that will enable energy efficient separations necessary to prepare biofuels that would also be useful in the chemical, petrochemical, water purification, and fossil fuel industries. These membranes, made from nanometer-thick layers of silicon dioxide, are highly selective in separating nearly-identical chemicals and can handle high flow rates of the chemicals. When fully developed, these membranes could substantially reduce the amount and cost of energy required in the production of biofuels and many other widely used industrial chemicals.
",Manufacturing Efficiency, ,?q=slick-sheet-project/ultra-thin-membranes-biofuels-production,University of Minnesota (UMN)
784,University of Minnesota (UMN),Biofuel from Bacteria and Sunlight,OPEN 2009,01/01/2010,08/31/2012,ALUMNI,Minnesota,"The University of Minnesota (UMN) is developing clean-burning, liquid hydrocarbon fuels from bacteria. UMN is finding ways to continuously harvest hydrocarbons from a type of bacteria called Shewanella by using a photosynthetic organism to constantly feed Shewanella the sugar it needs for energy and hydrocarbon production. The two organisms live and work together as a system. Using Shewanella to produce hydrocarbon fuels offers several advantages over traditional biofuel production methods. First, it eliminates many of the time-consuming and costly steps involved in growing plants and harvesting biomass. Second, hydrocarbon biofuels resemble current petroleum-based fuels and would therefore require few changes to the existing fuel refining and distribution infrastructure in the U.S.
",Transportation Fuels, ,?q=slick-sheet-project/biofuel-bacteria-and-sunlight,University of Minnesota (UMN)
785,University of Minnesota (UMN),Solar Thermochemical Fuels Production,HEATS,12/19/2011,06/18/2015,ALUMNI,Minnesota,"The University of Minnesota (UMN) is developing a solar thermochemical reactor that will efficiently produce fuel from sunlight, using solar energy to produce heat to break chemical bonds. UMN envisions producing the fuel by using partial redox cycles and ceria-based reactive materials. The team will achieve unprecedented solar-to-fuel conversion efficiencies of more than 10% (where current state-of-the-art efficiency is 1%) by combined efforts and innovations in material development, and reactor design with effective heat recovery mechanisms and demonstration. This new technology will allow for the effective use of vast domestic solar resources to produce precursors to synthetic fuels that could replace gasoline.
",Transportation Fuels, ,?q=slick-sheet-project/solar-thermochemical-fuels-production,University of Minnesota (UMN)
786,University of Minnesota (UMN),Iron-Nitride-Based Magnets,REACT,01/01/2012,09/30/2015,ALUMNI,Minnesota,"The University of Minnesota (UMN) is developing an early stage prototype of an iron-nitride permanent magnet material for EVs and renewable power generators. This new material, comprised entirely of low-cost and abundant resources, has the potential to demonstrate the highest energy potential of any magnet to date. This project will provide the basis for an entirely new class of rare-earth-free magnets capable of generating power without costly and scarce rare earth materials. The ultimate goal of this project is to demonstrate a prototype with magnetic properties exceeding state-of-the-art commercial magnets.

",Resource Efficiency, ,?q=slick-sheet-project/iron-nitride-based-magnets,University of Minnesota (UMN)
787,University of Minnesota (UMN) ,Enabling the Grid of the Future,NODES,07/15/2016,09/30/2019,ALUMNI,Minnesota,"The University of Minnesota (UMN) will develop a comprehensive approach that addresses the challenges to system reliability and power quality presented by widespread renewable power generation. By developing techniques for both centralized cloud-based and distributed peer-to-peer networks, the proposed system will enable coordinated response of many local units to adjust consumption and generation of energy, satisfy physical constraints, and provide ancillary services requested by a grid operator. The project will apply concepts from nonlinear and robust control theory to design self-organizing power systems that effectively respond to the grid events and variability. A key feature enabled by the proposed methodology is a flexible plug-and-play architecture wherein devices and small power networks can easily engage or disengage from other power networks or the grid. The project's design approach will be tested across many different scenarios while using more than 100 actual physical devices such as photovoltaics, battery storage inverters, and home appliances.
",Grid, ,?q=slick-sheet-project/enabling-grid-future,University of Minnesota (UMN)
788,University of Minnesota (UMN) ,Optimized Delivery Vehicles,NEXTCAR,03/01/2017,06/29/2020,ACTIVE,Minnesota,"The University of Minnesota (UMN) will lead a team to develop technology to improve the fuel efficiency of delivery vehicles through real-time vehicle dynamic and powertrain control optimization using two-way vehicle-to-cloud (V2C) connectivity. The effort will lead to greater than 20% fuel economy improvement of a baseline 2016 E-GEN series hybrid delivery vehicle operating as part of the United Parcel Service (UPS) fleet. Large delivery vehicle fleet operators such as UPS currently use analytics to assign routes in such a way to minimize fuel consumption. Algorithms mine historical data collected from vehicles to determine routes before a driver leaves a distribution center. UPS has also invested in E-GEN series electric-powertrain vehicles that allow pure electric driving for extended periods of time and use a small range-extending gasoline engine-generator to charge the battery, allowing routes longer than 550 miles. However, the current UPS routing algorithms do not interact with the vehicle directly to improve the fuel economy in real-time. The UMN project will integrate the E-GEN vehicles with real-time powertrain optimization and two-way V2C connectivity. The vehicle's powertrain controller will be pre-programmed at the beginning of a route to optimize efficiency using historical data and known parameters like terrain, weather, and traffic. Powertrain calibration will be optimized and downloaded to the vehicle using V2C connectivity in real-time during a delivery route, compensating for parameter changes or unpredicted driver behavior. The team's technology may also be commercialized far quicker because UPS, in particular, already uses E-GEN vehicles. Large delivery fleet operators, more broadly, are also heavily invested in data collection for reducing fuel consumption and actively track their vehicles, both factors that could potentially accelerate deployment.

",Transportation Vehicles, ,?q=slick-sheet-project/optimized-delivery-vehicles,University of Minnesota (UMN)
790,University of Missour,mst.edu,HITEMMP,09/16/2019,09/15/2022,ACTIVE,Missour,"Missouri S&amp;T will combine a novel additive manufacturing technique, called ceramic on-demand extrusion, and ceramic fusion welding techniques to manufacture very high temperature heat exchangers for power cycles with intense heat sources. Enabling turbine operation at significantly higher inlet temperatures substantially increases power generation efficiency and reduces emissions and water consumption. The developed heat exchangers will use ultra-high temperature ceramic materials and state-of-the-art design tools and manufacturing techniques to operate under temperatures of 1100-1500°C (2012-2732°F) and pressures of 80-250 bar (1160-3626 psi). Their high pressure and high temperature characteristics offer great potential for power plant size and cost reduction to enable future high efficiency modular power generation systems.

",Generation, ,?q=slick-sheet-project/mstedu,University of Missour
791,University of Missour,GaN Doping through Transmutation Processing,PNDIODES,09/20/2017,12/19/2020,ACTIVE,Missour,"The University of Missouri will develop neutron transmutation doping of GaN to fabricate uniform heavily doped n-type GaN wafers. GaN has long been proposed as a superior material for power electronic devices due to the intrinsic material advantages such as greater breakdown voltages and greater stability. Unfortunately, the fabrication of GaN wafers with uniform and high levels of dopants is challenging due to a lack of sufficient control during the existing crystal growth methods. The neutron transmutation doping process, which consists of exposing GaN wafers to neutron radiation to create a stable network of the dopant germanium within the GaN wafer, allows for a greater degree of precision and results in a high level, uniform doping concentrations across the wafer. With this method, repeatable production of high quality GaN substrates may be achieved. Specific innovations in this proposal concern an in-depth study of neutron transmission doping and a characterization of the resulting wafer, including analyzing resistivity, dopant concentration, unwanted impurities, and damage to the GaN lattice.

",Electrical Efficiency, ,?q=slick-sheet-project/gan-doping-through-transmutation-processing,University of Missour
798,University of Notre Dame,Carbon Dioxide and Ionic Liquid Refrigerants,BEETIT,10/01/2010,09/30/2013,ALUMNI,Indiana,"The University of Notre Dame is developing an air-conditioning system with a new ionic liquid and CO<sub>2</sub> as the working fluid. Synthetic refrigerants used in air conditioning and refrigeration systems are potent GHGs and can trap 1,000 times more heat in the atmosphere than CO<sub>2</sub> alone--making CO<sub>2</sub> an attractive alternative for synthetic refrigerants in cooling systems. However, operating cooling systems with pure CO<sub>2</sub> requires prohibitively high pressures and expensive hardware. Notre Dame is creating a new fluid made of CO<sub>2</sub> and ionic liquid that enables the use of CO<sub>2</sub> at low pressures and requires minimal changes to existing hardware and production lines. This new fluid also produces no harmful emissions and can improve the efficiency of air conditioning systems--enabling new use of CO<sub>2</sub> as a refrigerant in cooling systems.
",Building Efficiency, ,?q=slick-sheet-project/carbon-dioxide-and-ionic-liquid-refrigerants,University of Notre Dame
805,University of Southern California (USC),Iron-Air Rechargeable Battery,GRIDS,10/01/2010,09/30/2013,ALUMNI,California,"University of Southern California (USC) is developing an iron-air rechargeable battery for large-scale energy storage that could help integrate renewable energy sources into the electric grid. Iron-air batteries have the potential to store large amounts of energy at low cost--iron is inexpensive and abundant, while oxygen is freely obtained from the air we breathe. However, current iron-air battery technologies have suffered from low efficiency and short life spans. USC is working to dramatically increase the efficiency of the battery by placing chemical additives on the battery's iron-based electrode and restructuring the catalysts at the molecular level on the battery's air-based electrode. This can help the battery resist degradation and increase life span. The goal of the project is to develop a prototype iron-air battery at significantly cost lower than today's best commercial batteries.
",Storage, ,?q=slick-sheet-project/iron-air-rechargeable-battery,University of Southern California (USC)
806,University of Southern California (USC) ,Photonic Project Evaluation,ENLITENED,08/17/2017,08/16/2020,ACTIVE,California,"The University of Southern California (USC) will develop a framework and testbed for evaluating proposed photonic and optical-electronic interconnect technologies, such as those developed under the ARPA-E ENLITENED program. These new approaches will develop novel network topologies enabled by integrated photonics technologies, which use light instead of electricity to transmit information. USC's effort aims to offer an impartial assessment of these emerging datacenter concepts and architectures and their ability to reduce overall power consumption in a meaningful way. The team will focus on developing architecture specifications and models to assess the effects of photonic project components on system performance and efficiency, making it possible to quantify the potential energy reduction in datacenters. Specifically, they will simulate the impact on overall energy efficiency of dramatically different traffic, loading, and architectural configurations and then identify how individual new technologies such as optical components, optical switches, and transceivers, affect efficiency. The team expects that capabilities and facilities influenced by the project will form the basis of a national facility for evaluating new concepts for datacenter operations and the role of photonics in those systems.

",Electrical Efficiency, ,?q=slick-sheet-project/photonic-project-evaluation,University of Southern California (USC)
808,University of Southern Mississippi (USM),SeaweedPaddock Pelagic Sargassum Ranching,MARINER,07/02/2018,07/15/2019,ALUMNI,Mississipp,"The University of   Southern Mississippi (USM) will lead a MARINER Category 1 project to design   and develop a semi-autonomous enclosure, called a seaweed paddock, to contain   and grow mats of free-floating Sargassum, a brown seaweed species native to   the eastern Atlantic and the Gulf of Mexico. One of the major cost drivers   for production of macroalgae is the expense of the farming equipment,   particularly anchors used to hold the farms in place in a particular spot in   the ocean. Unlike most kelps, Sargassum does not require anchoring to a fixed   structure, but rather will grow as a floating mat at the ocean surface. By   leveraging this feature, the USM team will reduce the equipment and cost   required to produce this seaweed. The system's Sargassum mats are enclosed by   a floating sea fence that can be dynamically positioned by wave powered   drones, operated remotely onshore by a single person to ensure maximum   exposure to nutrients while avoiding ships and storms. Ocean health is   improved in these areas where the collection of mats use excess nutrients in   ocean deadzones, reducing ocean acidification while increasing dissolved   oxygen levels from photosynthesis. Over the course of a yearlong mission that   never returns to shore, the system could grow over a hundred thousand tons   starting from a single ton of seaweed.

",Transportation Fuels, ,?q=slick-sheet-project/seaweedpaddock-pelagic-sargassum-ranching,University of Southern Mississippi (USM)
810,University of Tennessee (UT),High Throughput Bioengineering of Switchgrass,OPEN 2012,02/01/2013,07/31/2016,ALUMNI,Tennessee,"The University of Tennessee (UT) is developing technology to rapidly screen the genetic traits of individual plant cells for their potential to improve biofuel crops. By screening individual cells, researchers can identify which lines are likely to be good cellulosic feedstocks without waiting for the plants to grow to maturity. UT's technology will allow high throughput screening of engineered plant cells to identify those with traits that significantly reduce the time and resources required to maximize biofuel production from switchgrass.
",Transportation Fuels, ,?q=slick-sheet-project/high-throughput-bioengineering-switchgrass,University of Tennessee (UT)
811,University of Tennessee (UT),Advanced Bioengineering for Biofuels,OPEN 2015,02/04/2016,02/03/2020,ALUMNI,Tennessee,"The University of Tennessee (UT) team proposes to develop a tool that will revolutionize plant metabolic engineering by using a large scale DNA synthesis strategy. The UT team will develop synthetic chloroplast (the part of the plant cell where photosynthesis occurs) genomes, called ""synplastomes."" Rather than introducing or editing genes individually inside the plant cell, the UT team will synthesize a complete chloroplast genome in the laboratory that can be readily modified and then introduced into the plant. UT's synplastomes will have significant advantages over conventional biotechnology methods. UT's synplastomes are expected to result in an extremely high expression of desired genes and will lack transgene positional effects, meaning improved consistency of trait expression. To ensure broader adoption and utilization of this technology, an editable synplastome will be generated that will feature standard genome editing sites and will allow for modification by researchers using standard, cost-effective techniques. The UT team's work in synthetic biology could significantly advance the field of plant metabolic engineering and help produce a path toward more economical, sustainable bio-based products.

",Transportation Fuels, ,?q=slick-sheet-project/advanced-bioengineering-biofuels,University of Tennessee (UT)
812,University of Tennessee (UT) ,Reversible Air Batteries,IDEAS,11/10/2016,03/19/2018,ALUMNI,Tennessee,"The University of Tennessee (UT) will develop a reversible Oxygen Reduction Reaction (ORR) catalyst that can be used both as a peroxide-producing electrolyzer and in reversible air batteries. The ORR catalyst development seeks to significantly improve peroxide electrolysis efficiency and achieve high charge and discharge rates in air-breathing batteries. In conjunction with the new catalyst, an anion exchange membrane (AEM) will be used to further increase the electrolyzer efficiency and reduce peroxide production costs. In the reversible air battery, the AEM increases battery power performance. Finally, a two-phase flow field design will increase both the current density and current efficiency for peroxide production and can also be used in the reversible air battery to build up a high concentration of hydrogen peroxide for energy storage. This technology could also enable onsite hydrogen peroxide production at small scale.

",Storage, ,?q=slick-sheet-project/reversible-air-batteries,University of Tennessee (UT)
813,University of Tennessee (UT) ,Smart and Flexible Microgrid,OPEN 2015,06/24/2016,12/23/2020,ACTIVE,Tennessee,"University of Tennessee (UT), along with their partners, will develop a new type of microgrid design, along with its corresponding controller. Like most other microgrids, it will have solar PV-based distributed generation and be capable of grid-connected or disconnected (islanded) operations. Unlike other microgrids, this design will incorporate smart grid capabilities including intelligent switches and high-speed communication links. The included controller will accommodate and utilize these smart grid features for enhanced performance and reduced costs. The microgrid controller will be open source, offering a flexible and robust development and implementation environment. The microgrid and controller design will also be scalable for different geographic areas, load sizes, distributed generation source number and types, and even multiple microgrids within an area.

",Grid, ,?q=slick-sheet-project/smart-and-flexible-microgrid,University of Tennessee (UT)
815,University of Texas at Austin (UT Austin),Single-Piston Natural Gas Compressor,MOVE,10/01/2012,12/31/2015,ALUMNI,Texas,"The Center for Electromechanics at the University of Texas at Austin (UT Austin) is developing an at-home natural gas refueling system that compresses natural gas using a single piston. Typically, at-home refueling stations use reciprocating compressor technology, in which an electric motor rotates a crankshaft tied to several pistons in a multi-stage compressor. These compressor systems can be inefficient and their complex components make them expensive to manufacture, difficult to maintain, and short-lived. The UT Austin design uses a single piston compressor driven by a directly coupled linear motor. This would eliminate many of the moving components associated with typical reciprocating compressors, reducing efficiency losses from friction, increasing reliability and durability, and decreasing manufacturing and maintenance costs.
",Transportation Storage, ,?q=slick-sheet-project/single-piston-natural-gas-compressor,University of Texas at Austin (UT Austin)
816,University of Texas at Austin (UT Austin),Smart Window Coatings,OPEN 2012,03/28/2013,09/26/2016,ALUMNI,Texas,"The University of Texas at Austin (UT Austin) is developing low-cost coatings that control how light enters buildings through windows. By individually blocking infrared and visible components of sunlight, UT Austin's design would allow building occupants to better control the amount of heat and the brightness of light that enters the structure, saving heating, cooling, and lighting costs. These coatings can be applied to windows using inexpensive techniques similar to spray-painting a car to keep the cost per window low. Windows incorporating these coatings and a simple control system have the potential to dramatically enhance energy efficiency and reduce energy consumption throughout the commercial and residential building sectors, while making building occupants more comfortable.

",Building Efficiency, ,?q=slick-sheet-project/smart-window-coatings,University of Texas at Austin (UT Austin)
820,University of Tulsa,Hybrid Solar Converter with Light-Filtering Mirror,FOCUS,11/07/2016,12/31/2018,ALUMNI,Oklahoma,"The University of Tulsa is developing a hybrid solar converter with a specialized light-filtering mirror that splits sunlight by wavelength, allowing part of the sunlight spectrum to be converted directly to electricity with photovoltaics (PV), while the rest is captured and stored as heat. By integrating a light-filtering mirror that passes the visible part of the spectrum to a PV cell, the system captures and converts as much as possible of the photons into high-value electricity and concentrates the remaining light onto a thermal fluid, which can be stored and be used as needed. University of Tulsa's hybrid solar energy system also captures waste heat from the solar cells, providing an additional source of low-temperature heat. This hybrid converter could make more efficient use of the full solar spectrum and can provide inexpensive solar power on demand.

",Generation, ,?q=slick-sheet-project/hybrid-solar-converter-light-filtering-mirror,University of Tulsa
822,University of Utah,Advanced Metal-Hydrides-Based Thermal Battery,HEATS,12/01/2011,02/28/2015,ALUMNI,Utah,"The University of Utah is developing a compact hot-and-cold thermal battery using advanced metal hydrides that could offer efficient climate control system for EVs. The team's innovative designs of heating and cooling systems for EVs with high energy density, low-cost thermal batteries could significantly reduce the weight and eliminate the space constraint in automobiles. The thermal battery can be charged by plugging it into an electrical outlet while charging the electric battery and it produces heat and cold through a heat exchanger when discharging. The ultimate goal of the project is a climate-controlling thermal battery that can last up to 5,000 charge and discharge cycles while substantially increasing the driving range of EVs, thus reducing the drain on electric batteries.
",Transportation Storage, ,?q=slick-sheet-project/advanced-metal-hydrides-based-thermal-battery,University of Utah
823,University of Utah,Direct Titanium Production from Titanium Slag,METALS,02/18/2014,09/30/2019,ALUMNI,Utah,"The University of Utah is developing a reactor that dramatically simplifies titanium production compared to conventional processes. Today's production processes are expensive and inefficient because they require several high-energy melting steps to separate titanium from its ores. The University of Utah's reactor utilizes a magnesium hydride solution as a reducing agent to break less expensive titanium ore into its components in a single step. By processing low-grade ore directly, the titanium can be chemically isolated from other impurities. This design eliminates the series of complex, high-energy melting steps associated with current titanium production. Consolidating several energy intensive steps into one reduces both the cost and energy inputs associated with titanium extraction.

",Manufacturing Efficiency, ,?q=slick-sheet-project/direct-titanium-production-titanium-slag,University of Utah
824,University of Utah,Electromagnetic Light Metal Sorting,METALS,01/10/2014,03/19/2018,ALUMNI,Utah,"The University of Utah is developing a light metal sorting system that can distinguish multiple grades of scrap metal using an adjustable and varying magnetic field. Current sorting technologies based on permanent magnets can only separate light metals from iron-based metals and tend to be inefficient and expensive. The University of Utah's sorting technology utilizes an adjustable magnetic field rather than a permanent magnet to automate scrap sorting, which could offer increased accuracy, less energy consumption, lower CO<sub>2</sub> emissions, and reduced costs. Due to the flexibility of this design, the system could be set to sort for any one metal at a time rather than being limited to sorting for a specific metal.

",Manufacturing Efficiency, ,?q=slick-sheet-project/electromagnetic-light-metal-sorting,University of Utah
