,Unnamed: 0,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount
536,536,Saint-Gobain Ceramics &amp; Plastics,"Saint-Gobain Ceramics &amp; Plastics is conducting early-stage research to extend operating temperatures of industrial ceramics in steam-containing atmospheres up to 1,500 ?C. Materials that are able to adequately withstand these punishing conditions are needed to create durable solar fuel reactors. The most attractive material based on high-temperature strength and thermal shock resistance is sintered (the process of compacting solid material without melting it) silicon carbide (SiC). However, the highly reactive H<sub>2</sub>O/H2/CO/CO<sub>2</sub> atmosphere within a solar reactor causes most industrial ceramics, including SiC, to degrade at temperatures above 1,200 ?C. At those temperatures volatile reaction products are formed, which continually eat away at the integrity of the reactor walls. The Saint-Gobain team is conducting research along three lines of inquiry: 1) Creating high-temperature coatings for the SiC material; 2) Creating ""self-healing"" SiC surfaces which are created via an oxidation reaction on an ongoing basis as the surface layer is damaged; and 3) Testing alternative ceramic materials which could be more robust. The results of the three lines of inquiry will be evaluated based on stability modeling and thermal cycling testing (i.e. repeatedly heating and cooling the materials) under simulated conditions. As an ARPA-E IDEAS project, this research is at a very early stage. If successful, the technology could potentially result in significant energy and cost savings to the U.S. economy by allowing liquid transportation fuel to be produced from water and carbon dioxide from the air via solar energy instead of conventional sources. In addition SiC materials with enhanced oxidation resistance could be applied to vessels and components across many industrial, thermal, chemical, and petrochemical processes.

",4/30/2017,IDEAS,ALUMNI,?q=slick-sheet-project/high-temperature-ceramics-solar-fuel-production,1/19/2016,Massachusetts,High Temperature Ceramics for Solar Fuel Production,Distributed Generation, ,494637
537,537,Sandia National Laboratories,"Sandia National Laboratories will develop a new type of switch, a 100kV optically controlled switch (often called photoconductive semiconductor switch or PCSS), based on the WBG semiconductors GaN and AlGaN. The capabilities of the PCSS will be demonstrated in high-voltage circuits for medium and high voltage direct current (MVDC/HVDC) power conversion for grid applications. Photoconductivity is the measure of a material's response to the energy inherent in light radiation. The electrical conductivity of a photoconductive material increases when it absorbs light. The team will first measure the photoconductive properties of GaN and AlGaN in order to assess if they operate similarly to gallium arsenide, a conventional semiconductor material used for PCSS, demonstrating sub-bandgap optical triggering and low-field, high-gain avalanche providing many times as many carriers by the electric field as created by the optical trigger. These two effects provide a tremendous reduction in the optical trigger energy required to activate the switch. The team will then design and fabricate GaN and AlGaN-based photoconductive semiconductor switches. The team predicts that WBG PCSS will outperform their predecessors with higher switch efficiency, the ability to switch at higher voltages, and will turn-off and recover faster, allowing for a higher frequency of switching. Ultimately, this will enable high-voltage switch assemblies (50-500kV) that can be triggered from a single, small driver (e.g. semiconductor laser). These modules will be substantially smaller (~10x) and simpler than existing modules used in grid-connected power electronics, allowing the realization of inexpensive and efficient switch modules that can be used in DC to AC power conversion systems on the grid at distribution and transmission scales.

",10/31/2018,IDEAS,ALUMNI,?q=slick-sheet-project/power-conversion-photoconductive-switches,5/1/2017,New Mexico,Power Conversion with Photoconductive Switches,Electrical Efficiency, ,500000
538,538,Sandia National Laboratories,"Sandia National Laboratories is working with several commercial and university partners to develop software for market management systems (MMSs) that enable greater use of renewable energy sources throughout the grid. MMSs are used to securely and optimally determine which energy resources should be used to service energy demand across the country. Contributions of electricity to the grid from renewable energy sources such as wind and solar are intermittent, introducing complications for MMSs, which have trouble accommodating the multiple sources of price and supply uncertainties associated with bringing these new types of energy into the grid. Sandia's software will bring a new, probability-based formulation to account for these uncertainties. By factoring in various probability scenarios for electricity production from renewable energy sources in real time, Sandia's formula can reduce the risk of inefficient electricity transmission, save ratepayers money, conserve power, and support the future use of renewable energy.
",1/16/2015,GENI,ALUMNI,?q=slick-sheet-project/probability-based-software-grid-optimization,4/1/2012,New Mexico,Probability-Based Software for Grid Optimization,Grid, ,2998886
539,539,Sandia National Laboratories,"Sandia National Laboratories will partner with the Laboratory for Laser Energetics at the University of Rochester to investigate the behavior of the magnetized plasma under fusion conditions, using a fusion concept known as Magnetized Liner Inertial Fusion (MagLIF). MagLIF uses lasers to pre-heat a magnetically insulated plasma in a metal liner and then compresses the liner to achieve fusion. The research team will conduct experiments at Sandia's large Z facility as well as Rochester's OMEGA facilities, and will collect key measurements of magnetized plasma fuel including temperature, density, and magnetic field over time. The results will help researchers improve compression and heating performance. By using the smaller OMEGA facility, researchers will be able to conduct experiments more rapidly, speeding the learning process and validating the MagLIF approach. Sandia's team will also use their experimental results to validate and expand a suite of simulation and numerical design tools to improve future fusion energy applications that employ magnetized inertial fusion concepts. This project will help accelerate the development of the MagLIF concept, and assist with the continued development of intermediate density approaches across the ALPHA program.
",11/24/2018,ALPHA,ALUMNI,?q=slick-sheet-project/magnetization-and-heating-tools-low-cost-fusion,8/15/2015,New Mexico,Magnetization and Heating Tools for Low-Cost Fusion,Centralized Generation, ,4435676
540,540,Sandia National Laboratories,"Sandia National Laboratories will develop a prototype DC-DC converter in a modular, scalable, mass-producible format that is capable of 10kW or greater and could fit onto a single circuit board. Inefficiency and construction costs associated with AC distribution/transmission and DC-AC conversion are motivating many to consider direct connection of PV to DC distribution (and even DC transmission) circuits. The prototype proposed in this project would enable PV panels to be connected to a medium-to-high voltage DC distribution circuit using a power converter about the size of an average textbook. The team will demonstrate a high-voltage, high-power density, hybrid switched-capacitor power conversion circuit that relies on the concurrent use of silicon carbide (SiC) active switches and leading-edge, 1200V rated, vertical gallium nitride (GaN) diodes. Both SiC and GaN have individually led to improvements in converter performance that permits higher switching frequencies, blocking voltages, and operating temperatures. The team plans to exploit the use of SiC switches coupled with GaN diodes, utilizing the benefits of both materials to achieve improved power density and better performance. These devices would enable improved efficiency and small size, which would reduce assembly, transportation, and installation costs.  The proposed circuit topology would be scalable to 100s of kW and 10s of kV, enabling a whole string of modules in a PV plant to be connected to a DC distribution circuit through a converter of about the size of a midsize microwave oven. The converter can be applied to other renewable sources, but in particular, this technology could greatly accelerate the adoption of PV onto the grid by enabling cheaper and more efficient medium voltage and high voltage DC distribution networks.

",12/20/2017,IDEAS,ALUMNI,?q=slick-sheet-project/high-gain-step-converters,12/21/2016,New Mexico,High Gain Step-Up Converters,Distributed Generation, ,500000
541,541,Sharp Laboratories of America,"Sharp Laboratories of America and their partners at the University of Texas and Oregon State University are developing a sodium-based battery that could dramatically increase battery cycle life at a low cost while maintaining a high energy capacity. Current storage approaches use either massive pumped reservoirs of water or underground compressed air storage, which carry serious infrastructure requirements and are not feasible beyond specific site limitations. Therefore, there is a critical need for a scalable, adaptable battery technology to enable widespread deployment of renewable power. Sodium ion batteries have the potential to perform as well as today's best lithium-based designs at a significantly lower cost. Sharp Labs' new battery would provide long cycle life, high energy density, and safe operation if deployed throughout the electric grid.
",3/27/2016,OPEN 2012,ALUMNI,?q=slick-sheet-project/sodium-based-energy-storage,3/28/2013,Washington,Sodium-Based Energy Storage,Storage, ,2904393
542,542,Sheetak,"Sheetak is developing a new HVAC system to store the energy required for heating and cooling in EVs. This system will replace the traditional refrigerant-based vapor compressors and inefficient heaters used in today's EVs with efficient, light, and rechargeable hot-and-cold thermal batteries. The high energy density thermal battery--which does not use any hazardous substances--can be recharged by an integrated solid-state thermoelectric energy converter while the vehicle is parked and its electrical battery is being charged. Sheetak's converters can also run on the electric battery if needed and provide the required cooling and heating to the passengers--eliminating the space constraint and reducing the weight of EVs that use more traditional compressors and heaters.
",3/31/2015,HEATS,ALUMNI,?q=slick-sheet-project/high-energy-density-thermal-batteries,11/15/2011,Texas,High Energy Density Thermal Batteries,Transportation Storage, ,4623433
543,543,Sheetak,"Sheetak is developing a thermoelectric-based solid state cooling system that is more efficient, more reliable, and more affordable than today's best systems. Many air conditioners are based on vapor compression, in which a liquid refrigerant circulates within the air conditioner, absorbs heat, and then pumps it out into the external environment. Sheetak's system, by contrast, relies on an electrical current passing through the junction of two different conducting materials to change temperature. Sheetak's design uses proprietary thermoelectric materials to achieve significant energy efficiency and, unlike vapor compression systems, contains no noisy moving parts or polluting refrigerants. Additionally, Sheetak's air conditioner would be made with some of the same manufacturing processes used to produce semiconductor chips, which could lead to less material use and facilitate more affordable production.
",6/30/2015,BEETIT,ALUMNI,?q=slick-sheet-project/high-efficiency-solid-state-cooling-technologies,9/1/2010,Texas,High-Efficiency Solid State Cooling Technologies,Building Efficiency, ,3789025
544,544,Signetron,"Signetron is developing a technology that will enable fast, cost effective, and accurate energy audits without the need for expensive, skilled labor to collect data manually. Signetron's innovation integrates low-cost visible and infrared optical cameras into a handheld scanner with depth sensing. This enables the operator to capture indoor 3D maps of building geometry and energy-relevant features as they traverse a building. Captured data is uploaded to the cloud where it is analyzed by Signetron software to generate an energy model and provide actionable energy audit information. If successful, this technology will reduce the time and cost associated with today's energy audits by a factor of 5 and 10 respectively, while offering actionable energy-saving recommendations. This technology could lower the cost barrier for building energy audits, thereby enabling property owners and facility managers to better understand the sources of energy loss in their buildings and where to optimally target retrofits to improve energy savings.<br/>
",7/5/2016,IDEAS,ALUMNI,?q=slick-sheet-project/mobile-building-audits,7/6/2015,California,Mobile Building Audits,Building Efficiency, ,499939
545,545,Sila Nanotechnologies,"Sila Nanotechnologies will develop solid-state ceramic lithium batteries with high energy density. Traditional methods using ceramic electrolytes significantly reduces a battery's volumetric energy density because the materials are relatively bulky. Commercially produced separator membranes are also expensive and thick because of challenges in fabrication and handling of thinner, defect-free solid-state electrolyte membranes. In addition, such membranes are often air sensitive, have low ionic conductivity, and are susceptible to the growth of branchlike metal fibers called dendrites. Unimpeded, dendrites can grow to span the space between the negative and positive electrodes, causing short-circuiting. To overcome these limitations the team proposes a shift in solid-state battery technology: melt-infiltrating of a solid-state electrolyte at moderate temperatures into a porous separator-cathode stack. This reduces cell volume by nearly three times, while resulting in a corresponding increase in energy density and cost-reduction. The result is a product with low cost and high production yield, built on a process similar to conventional organic electrolyte-filling techniques. The equipment for this process will be very similar to what is currently used in Li-ion battery manufacturing, except that it will be slightly modified for operation at elevated temperatures of up to 250-400?C. The use of equipment similar to what is currently used by industry will reduce the risks of technology scale-up.

",5/31/2018,IONICS,ALUMNI,?q=slick-sheet-project/melt-infiltration-solid-electrolyte,12/1/2016,California,Melt-Infiltration Solid Electrolyte,Storage,Transportation Storage,1000000
546,546,Sila Nanotechnologies,"Sila Nanotechnologies is developing a high-throughput technology for scalable synthesis of high-capacity nanostructured materials for Li-Ion EV batteries. The successful implementation of this technology will allow improvements in energy storage capacity of today's best batteries at half the cost. In contrast to other high-capacity material synthesis technologies, Sila's materials show minimal volume changes during the battery operation, which is a key challenge of next-generation battery anode materials. In addition, Sila's technology may allow for the dramatic enhancements of the batteries' cycle life, structural stability, safety, and charging rate. The low-cost, drop-in compatibility with existing cell manufacturing technologies, and environmental friendliness of both the material synthesis and electrode fabrication will assist in the rapid adoption of Sila's technology. Coupling increased battery capacity with substantial cost reduction could alleviate the driving range anxiety and price problems associated with today's EVs. Increasing the capacity of battery electrodes is critical to lowering the cost of Li-Ion batteries and making EVs cost-competitive with gasoline-based vehicles.
",3/31/2016,BEEST,ALUMNI,?q=slick-sheet-project/double-energy-density-anodes-lithium-ion-batteries,10/1/2012,California,Double Energy Density Anodes for Lithium-Ion Batteries,Transportation Storage, ,3225000
547,547,Sion Power,"Sion Power is developing a lithium-sulfur (Li-S) battery, a potentially cost-effective alternative to the Li-Ion battery that could store 400% more energy per pound. All batteries have 3 key parts--a positive and negative electrode and an electrolyte--that exchange ions to store and release electricity. Using different materials for these components changes a battery's chemistry and its ability to power a vehicle. Traditional Li-S batteries experience adverse reactions between the electrolyte and lithium-based negative electrode that ultimately limit the battery to less than 50 charge cycles. Sion Power will sandwich the lithium- and sulfur-based electrode films around a separator that protects the negative electrode and increases the number of charges the battery can complete in its lifetime. The design could eventually allow for a battery with 400% greater storage capacity per pound than Li-Ion batteries and the ability to complete more than 500 recharge cycles.
",9/30/2013,BEEST,ALUMNI,?q=slick-sheet-project/lithium-sulfur-batteries,10/1/2010,Arizona,Lithium-Sulfur Batteries,Transportation Storage, ,4305005
548,548,Skyre,"Skyre will develop a system to capture carbon dioxide (CO<sub>2</sub>) emitted from industrial or chemical processes, electrochemically convert it into methanol, and further transform the methanol into dimethyl ether (DME). DME can be stored and transported using existing infrastructure and can be converted into electricity to provide power for transportation and distributed energy generation. To convert CO<sub>2</sub> to methanol, new catalysts that improve efficiency and lower costs will be developed that are highly selective and durable, building on the team's prior work with transition-metal-supported catalysts. The CO<sub>2</sub> reduction technology is designed to be modular and scalable. The system does not require a continuous supply of power and can, therefore, use intermittent renewable energy sources. These technologies offer a path to better utilize domestic resources, providing long-term energy storage from wind and solar, and long-distance energy delivery from remote locations.
",9/30/2018,REFUEL,ALUMNI,?q=slick-sheet-project/carbon-dioxide-dimethyl-ether,6/9/2017,Connecticut,Carbon Dioxide to Dimethyl Ether,Transportation Fuels, ,1200000
549,549,Smart Wire Gr,"Smart Wire Grid is developing a solution for controlling power flow within the electric grid to better manage unused and overall transmission capacity. The 300,000 miles of high-voltage transmission line in the U.S. today are congested and inefficient, with only around 50% of all transmission capacity utilized at any given time. Increased consumer demand should be met in part with a more efficient and economical power flow. Smart Wire Grid's devices clamp onto existing transmission lines and control the flow of power within--much like how internet routers help allocate bandwidth throughout the web. Smart wires could support greater use of renewable energy by providing more consistent control over how that energy is routed within the grid on a real-time basis. This would lessen the concerns surrounding the grid's inability to effectively store intermittent energy from renewables for later use.

",9/30/2014,GENI,ALUMNI,?q=slick-sheet-project/distributed-power-flow-control,4/23/2012,California,Distributed Power Flow Control,Grid, ,3977619
550,550,SolarBridge Technologies,"SolarBridge Technologies is developing a new power conversion technique to improve the energy output of PV power plants. This new technique is specifically aimed at large plants where many solar panels are connected together. SolarBridge is correcting for the inefficiencies that occur when two solar panels that encounter different amounts of sun are connected together. In most conventional PV system, the weakest panel limits the energy production of the entire system. That's because all of the energy collected by the PV system feeds into a single collection point where a central inverter then converts it into useable energy for the grid. SolarBridge has found a more efficient and cost-effective way to convert solar energy, correcting these power differences before they reach the grid.

",6/22/2015,Solar ADEPT,ALUMNI,?q=slick-sheet-project/efficient-power-converters-pv-arrays,2/23/2012,Texas,Efficient Power Converters for PV Arrays,Distributed Generation, ,1099848
551,551,Solid Power,"Solid Power is developing a new low-cost, all-solid-state battery for EVs with greater energy storage capacity and a lighter, safer design compared to lithium-ion batteries. Conventional batteries are expensive, perform poorly at high temperatures and require heavy protective components to ensure safety. In contrast, Solid Power's liquid-free cells store more energy for their size and weight, but use non-flammable and non-volatile materials that are stable high temperatures. This results in improved safety in the event of a collision or fire. Additionally, Solid Power  plans to use low-cost, abundant materials in the range of $10-$20/kg that could reduce battery manufacturing costs, to help drive down the cost of EVs.
",6/30/2017,RANGE,ALUMNI,?q=slick-sheet-project/all-solid-state-lithium-ion-battery,1/1/2014,Colorado,All Solid-State Lithium-Ion Battery,Transportation Storage, ,3459250
552,552,Soraa,"Soraa will develop a cost-effective technique to manufacture high-quality, high-performance gallium nitride (GaN) crystal substrates that have fewer defects by several orders of magnitude than conventional GaN substrates and cost about 10 times less. Substrates are thin wafers of semiconducting material needed to power devices like transistors and integrated circuits. Most GaN-based electronics today suffer from very high defect levels and, in turn, reduced performance. In addition to reducing defects, Soraa will also develop methods capable of producing large-area GaN substrates--3 to 4 times larger in diameter than conventional GaN substrates--that can handle high-power switching applications.
",5/17/2015,SWITCHES,ALUMNI,?q=slick-sheet-project/low-cost-gan-substrates,2/17/2014,California,Low-Cost GaN Substrates,Electrical Efficiency, ,225000
553,553,Soraa,"Soraa's new GaN crystal growth method is adapted from that used to grow quartz crystals, which are very inexpensive and represent the second-largest market for single crystals for electronic applications (after silicon). More extreme conditions are required to grow GaN crystals and therefore a new type of chemical growth chamber was invented that is suitable for large-scale manufacturing. A new process was developed that grows GaN crystals at a rate that is more than double that of current processes. The new technology will enable GaN substrates with best-in-world quality at lowest-in-world prices, which in turn will enable new generations of white LEDs, lasers for full-color displays, and high-performance power electronics.
",1/31/2016,OPEN 2009,ALUMNI,?q=slick-sheet-project/ammonothermal-growth-gan-substrates-leds,6/6/2012,California,Ammonothermal Growth of GaN Substrates for LEDs,Building Efficiency, ,6319259
554,554,Southwest Research Institute (SwRI),"Southwest Research Institute (SwRI) is developing a battery management system to track the performance characteristics of lithium-ion batteries during charge and discharge cycles to help analyze battery capacity and health. No two battery cells are alike--they differ over their life-times in terms of charge and discharge rates, capacity, and temperature characteristics, among other things. In SwRI's design, a number of strain gauges would be strategically placed on the cells to monitor their state of charges and overall health during operation. This could help reduce the risk of batteries being over-charged and over-discharged. This novel sensing technique should allow the battery to operate within safe limits and prolong its cycle life. SwRI is working to develop complex algorithms and advanced circuitry to help demonstrate the potential of these sensing technologies at the battery-pack level.
",2/15/2015,AMPED,ALUMNI,?q=slick-sheet-project/sensor-technology-lithium-ion-batteries,10/1/2012,Texas,Sensor Technology for Lithium-Ion Batteries,Storage,Transportation Storage,712000
555,555,Space Orbital Services,"Space Orbital Services, in conjunction with SRI International, proposes to conduct laboratory-based, small-scale research to develop a methane conversion technology that employs unconventional chemistry at relatively low temperature, based on impacting a common alloy catalyst.  The project uses laboratory experiments to establish, measure and refine operational parameters including conversion rates and efficiency, reaction products, and reactor design.

",12/31/2015,IDEAS,ALUMNI,?q=slick-sheet-project/low-temperature-methane-conversion-through-impacting-common-alloy-catalysts,8/1/2014,California,Low Temperature Methane Conversion Through Impacting Common Alloy Catalysts,Transportation Fuels, ,499880
556,556,SRI International ,"SRI International and PPG Industries are integrating SRI's proprietary Spectrally Tuned All-Polymer Technology for Inducing Cooling (STATIC) technology into a novel structure for use as a radiative cooling system that can provide supplemental cooling for power plant water during the daytime or nighttime. The two-layer polymer structure covers a pool holding power plant condenser discharge water. The cover prevents sunlight from penetrating it and warming the water, while allowing thermal energy to radiate to the sky, even during the day. The STATIC structure provides an insulating air gap to prevent conductive and convective heating, and both layers work in concert to reject solar energy. Specifically, the bottom layer acts as an emitter at the water temperature and radiates heat to the sky, while the top layer and key component, produced using STATIC technology, enables transmittance of the thermal radiation. The cooling power can achieve greater than 100 W/m2 without evaporation. All materials are inexpensive and amenable to scalable manufacturing techniques, which could lower the cost of the system.
",6/6/2017,ARID,ALUMNI,?q=slick-sheet-project/radiative-film-supplemental-cooling,8/5/2015,California,Radiative Film for  Supplemental Cooling,Resource Efficiency, ,674852
557,557,SRI International,"SRI International, in collaboration with its partners will develop a transparent, adhesive film that can be easily applied to single-pane windows to reduce heat loss from warm rooms during cold weather. The team proposes an entirely new approach to thermal barriers and will develop a new class of non-porous materials that use nanoparticles to reflect heat and provide superior thermal insulation. Moreover, the transparent film does not block visible light, meaning that the coating allows light to transmit through the window and brighten the interior. The film could also improve the soundproofing of the window.

",12/4/2019,SHIELD,ACTIVE,?q=slick-sheet-project/engineered-polymer-film,12/5/2016,California,Engineered Polymer Film,Building Efficiency, ,1413502
558,558,SRI International,"SRI International is developing a reactor that is able to either convert titanium tetrachloride to titanium powder or convert multiple metal chlorides to titanium alloy powder in a single step. Conventional titanium extraction and conversion processes involve expensive and energy intensive melting steps. SRI is examining the reaction between hydrogen and metal chlorides, which could produce titanium alloys without multiple complicated steps. Using titanium powder for transportation applications has not been practical until now because of the high cost of producing powder from titanium ingots. SRI's reactor requires less material because it produces powder directly rather than converting it from intermediate materials such as sponge or ingot. Transforming titanium production into a direct process could reduce costs and energy consumption by eliminating energy intensive steps and decreasing material inputs.
",4/30/2015,METALS,ALUMNI,?q=slick-sheet-project/direct-production-titanium-powder,12/10/2013,California,Direct Production of Titanium Powder,Manufacturing Efficiency, ,902104
559,559,SRI International ,"SRI International will develop a highly efficient, wearable thermal regulation system that leverages the human body's natural thermal regulation areas such as the palms of the hands, soles of feet, and upper facial area. This innovative ""active textile"" technology is enabled by a novel combination of low-cost electroactive and passive polymer materials and structures to efficiently manage heat transfer while being quiet and comfortable. SRI's electronically controllable active textile technology is versatile - allowing the wearer to continue to use their existing wardrobe. We believe that these features will allow for products that augment wearable technologies and thus achieve the widespread adoption needed to save energy on a large scale.
",9/30/2018,DELTA,ALUMNI,?q=slick-sheet-project/wearable-electroactive-textile,5/1/2015,California,Wearable Electroactive Textile,Building Efficiency, ,3853224
560,560,Stanford University,"By leveraging advanced microfabrication processes, the team led by Stanford University will develop a scalable heat-to-electricity conversion device with higher performance at a lower manufacturing cost than is presently available to industry. The team's solid-state conversion device is based on a 20th century thermionic converter design, where an electric current is produced by heating up an electrode to eject electrons across a vacuum gap for collection by a cooler electrode. Historically, thermionic energy converters are limited by heat losses and are costly to manufacture due to the high precision used in their construction. However, by utilizing wafer-based fabrication processes to create a much smaller vacuum gap and enhanced thermal isolation structures, Stanford's thermionic converter will result in improved device performance, lower manufacturing cost, and a scalability for systems producing Watts to Megawatts of power. The team's initial focus is on the residential Combined Heat and Power (CHP) applications, but their innovative microfabricated thermionic device could also be used to improve efficiency in high-temperature solar thermal systems as well as convert waste heat from factory equipment, power plants, and vehicles to useful power.

",12/31/2018,OPEN 2015,ALUMNI,?q=slick-sheet-project/high-efficiency-energy-converters-0,6/1/2016,California,High-Efficiency Energy Converters,Distributed Generation, ,3985608
561,561,Stanford University,"Stanford University is developing an all-electron battery that would create a completely new class of energy storage devices for EVs. Stanford's all-electron battery stores energy by moving electrons rather than ions. Electrons are lighter and faster than the ion charge carriers in conventional Li-Ion batteries. Stanford's all-electron battery also uses an advanced structural design that separates critical battery functions, which increases both the life of the battery and the amount of energy it can store. The battery could be charged 1000s of times without showing a significant drop in performance.
",6/30/2012,BEEST,ALUMNI,?q=slick-sheet-project/all-electron-battery,7/1/2010,California,The All-Electron Battery,Transportation Storage, ,1498681
562,562,Stanford University,"A team of researchers from more than 10 departments at Stanford University is collaborating to transform the way Americans interact with our energy-use data. The team built a web-based platform that collects historical electricity data, which it uses to perform a variety of experiments to learn what triggers people to respond. Experiments include new financial incentives, a calculator to understand the potential savings of efficient appliances, new Facebook interface designs, communication studies using Twitter, and educational programs with the Girl Scouts. Economic modeling is underway to better understand how results from the San Francisco Bay Area can be broadened to other parts of the country.

",11/30/2016,OPEN 2009,ALUMNI,?q=slick-sheet-project/behavioral-initiatives-energy-efficiency,1/14/2010,California,Behavioral Initiatives for Energy Efficiency,Resource Efficiency, ,8461360
563,563,Stanford University,"Stanford University is developing an EV battery that can be used as a structural component of the vehicle. Today's EV battery packs only serve one purpose: electrical energy storage. They do not carry structural loads during operation or absorb impact energy in the event of a collision. Stanford's new battery design would improve upon existing technologies in four key areas: 1) structural capabilities, 2) damage and state sensing systems, 3) novel battery management and thermal regulation, and 4) high-capacity battery cells. Stanford's research will result in a multifunctional battery chassis system that is safe and achieves high efficiency in terms of energy storage at low production cost. The integration of such a battery system would result in decreased overall weight of the combined vehicle and battery, for greater EV range.

",9/30/2017,RANGE,ALUMNI,?q=slick-sheet-project/multifunctional-battery-chassis-systems,2/11/2014,California,Multifunctional Battery Chassis Systems,Transportation Storage, ,2744657
564,564,Stanford University,"Stanford University is developing a device for the rooftops of buildings and cars that will reflect sunlight and emit heat, enabling passive cooling, even when the sun is shining. This device requires no electricity or fuel and would reduce the need for air conditioning, leading to energy and cost savings. Stanford's technology relies on recently developed state-of-the-art concepts and techniques to tailor the absorption and emission of light and heat in nanostructured materials. This project could enable buildings, cars, and electronics to cool without using electric power.
",3/19/2018,OPEN 2012,ALUMNI,?q=slick-sheet-project/radiative-coolers-rooftops-and-cars,2/20/2013,California,Radiative Coolers for Rooftops and Cars,Building Efficiency, ,2943851
565,565,Sun Catalytix,"Sun Catalytix is developing wireless energy-storage devices that convert sunlight and water into renewable fuel. Learning from nature, one such device mimics the ability of a tree leaf to convert sunlight into storable energy. It is comprised of a silicon solar cell coated with catalytic materials, which help speed up the energy conversion process. When this cell is placed in a container of water and exposed to sunlight, it splits the water into bubbles of oxygen and hydrogen. The hydrogen and oxygen can later be recombined to create electricity, when the sun goes down for example. The Sun Catalytix device is novel in many ways: it consists primarily of low-cost, earth-abundant materials where other attempts have required more expensive materials like platinum. Its operating conditions also facilitate the use of less costly construction materials, whereas other efforts have required extremely corrosive conditions.

",12/31/2012,OPEN 2009,ALUMNI,?q=slick-sheet-project/energy-water-and-sunlight,12/31/2009,Massachusetts,Energy from Water and Sunlight,Resource Efficiency, ,4085346
566,566,Sustainable Energy Solutions (SES),"Sustainable Energy Solutions (SES) is developing a process to capture CO<sub>2</sub> from the exhaust gas of coal-fired power plants by desublimation--the conversion of a gas to a solid. Capturing CO<sub>2</sub> as a solid and delivering it as a liquid avoids the large energy cost of CO<sub>2</sub> gas compression. SES' capture technology facilitates the prudent use of available energy resources; coal is our most abundant energy resource and is an excellent fuel for baseline power production. SES capture technology can capture 99% of the CO<sub>2</sub> emissions in addition to a wide range of other pollutants more efficiently and at lower costs than existing capture technologies. SES' capture technology can be readily added to our existing energy infrastructure.
",3/31/2015,IMPACCT,ALUMNI,?q=slick-sheet-project/capturing-co2-exhaust-gas,7/14/2010,Utah,Capturing CO2 from Exhaust Gas,Resource Efficiency, ,5297254
567,567,Tai-Yang Research Company (TYRC),"Tai-Yang Research Company (TYRC) is developing a superconducting cable, which is a key enabling component for a grid-scale magnetic energy storage device. Superconducting magnetic energy storage systems have not established a commercial foothold because of their relatively low energy density and the high cost of the superconducting material. TYRC is coating their cable in yttrium barium copper oxide (YBCO) to increase its energy density. This unique, proprietary cable could be manufactured at low cost because it requires less superconducting material to produce the same level of energy storage as today's best cables.
",3/6/2017,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-power-low-cost-superconducting-cable,2/15/2013,Tennessee,"High-Power, Low-Cost Superconducting Cable",Transportation Storage, ,2150081
568,568,Tandem PV,"Tandem PV will develop and test an advanced processing tool that integrates high-throughput solution deposition  and precise drying to deposit large-area perovskite thin films of exceptional optical and electronic quality. Production of these films on large areas is a critical step towards perovskite-Si tandem PV cells that can achieve significantly higher efficiency than traditional Si PV cells. Small-scale perovskite PV device fabrication typically occurs using a spin-coating process, but the process is not easily scalable. The ability to deposit perovskite PV devices with a large-scale production technique while achieving the same quality and stability achieved by record-setting spin-coated laboratory cells would be a significant step forward.  If the project is successful, it will remove a major obstacle to the successful commercialization of perovskite PVs.?

",12/31/2018,IDEAS,ALUMNI,?q=slick-sheet-project/unlock-perovskite-photovoltaics,10/31/2017,California,Unlock Perovskite Photovoltaics,Distributed Generation, ,450500
569,569,Teledyne Scientific &amp; Imaging,"Teledyne Scientific &amp; Imaging is developing a water-based, potassium-ion flow battery for low-cost stationary energy storage. Flow batteries store chemical energy in external tanks instead of within the battery container. This allows for cost-effective scalability because adding storage capacity is as simple as expanding the tank. Teledyne is increasing the energy and power density of their battery by 2-5 times compared to today's state-of-the-art vanadium flow battery. Their safe, scalable, low-cost energy storage technology would facilitate more widespread adoption and deployment of renewable energy technology.
",1/31/2014,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-energy-density-potassium-based-flow-battery,2/4/2013,California,High Energy Density Potassium-Based Flow Battery,Storage, ,540040
570,570,Teledyne Scientific &amp; Imaging,"Teledyne is developing a liquid prism panel that tracks the position of the sun to help efficiently concentrate its light onto a solar cell to produce power. Typically, solar tracking devices have bulky and expensive mechanical moving parts that require a lot of power and are often unreliable. Teledyne's liquid prism panel has no bulky and heavy supporting parts--instead it relies on electrowetting. Electrowetting is a process where an electric field is applied to the liquid to control the angle at which it meets the sunlight above and to control the angle of the sunlight to the focusing lens--the more direct the angle to the focusing lens, the more efficiently the light can be concentrated to solar panels and converted into electricity. This allows the prism to be tuned like a radio to track the sun across the sky and steer sunlight into the solar cell without any moving mechanical parts. This process uses very little power and requires no expensive supporting hardware or moving parts, enabling efficient and quiet rooftop operation for integration into buildings.
",4/19/2013,OPEN 2009,ALUMNI,?q=slick-sheet-project/efficient-solar-concentrators,10/1/2010,California,Efficient Solar Concentrators,Distributed Generation, ,968943
